Degree,Field,SubField,COLLEGE,DURATION,COLLEGE FEE,NIRF AND OTHER RANK(2022),MIN MARKS FOR ELIGIBILITY,QUALIFIED DEGREE,Deadline ,ENTRANCE NAME AND DURATION,EXAM DETAILS,TEST DATE,APPLICATION PROCESS,APPLICATION FEE,SELECTION PROCESS,INTAKE,LINK,Scholarships/Fellowships,Unnamed: 19
Bachelors,Environmental Science,Geospatial Engineering,NIT Surathkal,4 years ,1L-2L ,,,,,JEE Main,,,,,,,,"One can apply for general scholarships like Jindal Scholarship, the Narotam Sekhsaria Foundation Scholarship, the Aditya 
Birla Scholarship, and the ONGC Scholarship",
Bachelors,Environmental Science,Geospatial Engineering,IIT Roorkee,4 years ,2L-3L ,,,,,"JEE Main
JEE Advanced",,,,,,,,"One can apply for general scholarships like Jindal Scholarship, the Narotam Sekhsaria Foundation Scholarship, the Aditya 
Birla Scholarship, and the ONGC Scholarship",
Masters,Environmental Science,Geospatial Engineering,IIT Bombay,2 years,2L-3L ,,,,,GATE,,,,,,,,"Institute Fellowship, Teaching Assistantship, Research 
Assistantship, and project-specific fellowships",
Masters,Environmental Science,Geospatial Engineering,IIT Roorkee,2 years,2L-3L ,,,,,GATE,,,,,,,,"Institute Fellowship, Teaching Assistantship, Research 
Assistantship, and project-specific fellowships",
Bachelors,Plastics Engineering,Plastics Engineering,CIPET Central Institute of Plastics Engineering and Technology,4 years ,48K-55K per year,,,,,CIPET JEE,,,,,,,,"merit-based scholarships, financial need",
Bachelors,Plastics Engineering,Plastics Engineering,MITWPU MIT World Peace University,4 years ,2L-3L per year,,,,,JEE Main,,,,,,,,"merit-based scholarships, financial need",
Bachelors,Plastics Engineering,Plastics Engineering,LDCE LD College of Engineering,4 years ,15k per year,,,,,JEE Main,,,,,,,,"merit-based scholarships, financial need",
Masters,Plastics Engineering,Plastics Engineering,"Central Institute of Plastics Engineering and Technology (CIPET), Chennai",2 years,1L-2L full course,,,,,CIPET JEE,,,,,,,,"merit-based scholarships, financial need",
Masters,Plastics Engineering,Plastics Engineering,"Institute of Chemical Technology (ICT), Mumbai",2 years,1L-2L full course,,,,,GATE,,,,,,,,"merit-based scholarships, financial need",
Masters,Plastics Engineering,Plastics Engineering,"Maharashtra Institute of Technology (MIT), Pune",2 years,1L-2L full course,,,,,GATE,,,,,,,,"merit-based scholarships, financial need",
Bachelors,Textile Engineering,Textile Engineering,IIT Delhi,4 years ,8L full course,,,,,"JEE Main 
JEE Advanced",,,,,,,,"Merit-cum-means scholarship, SC/ST Scholarship, and 
Institute free studentship",
Bachelors,Textile Engineering,Textile Engineering,IIT Kanpur,4 years ,8L full course,,,,,"JEE Main 
JEE Advanced",,,,,,,,"Merit-cum-means scholarship, SC/ST Scholarship, and 
Institute free studentship",
Bachelors,Textile Engineering,Textile Engineering,IIT Bombay,4 years ,8L full course,,,,,"JEE Main 
JEE Advanced",,,,,,,,"Merit-cum-means scholarship, SC/ST Scholarship, and 
Institute free studentship",
Masters,Textile Engineering,Textile Engineering,IIT Bombay,2 years,8L full course,,,,,"JEE Main 
JEE Advanced",,,,,,,,"Merit-cum-means scholarship, SC/ST Scholarship, and 
Institute free studentship",
Masters,Textile Engineering,Textile Engineering,IIT Delhi,2 years,2L-3L ,,,,,GATE,,,,,,,,"Merit-cum-means scholarship, SC/ST Scholarship, and 
Institute free studentship",
Masters,Textile Engineering,Textile Engineering,NIT Jalandhar,2 years,2L-3L ,,,,,GATE,,,,,,,,"Merit-cum-means scholarship, SC/ST Scholarship, and 
Institute free studentship",
PhD,Textile Engineering,Textile Engineering,IIT Delhi,5 years ,45-50 k per sem ,,,,,GATE or UGC NET,,,,,,,,"Merit-cum-means scholarship, SC/ST Scholarship, and 
Institute free studentship",
PhD,Textile Engineering,Textile Engineering,IIT Kanpur,5 years ,14k-20k per sem,,,,,GATE or UGC NET,,,,,,,,"Merit-cum-means scholarship, SC/ST Scholarship, and 
Institute free studentship",
Bachelors,Physics,Physics,"IISc, Bangalore",3 or 4 years,"INR 5,000 -INR 10,46,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, KVPY
, NEET (UG)",,,,,,,https://iisc.ac.in/wp-content/uploads/2022/03/Appendix-A.pdf,"1. KVPY
2. INSPIRE
3. IISc Promotional Scheme(IIScP)",
Bachelors,Physics,Physics,IIT Kanpur,3 or 4 years,"INR 5,000 -INR 10,46,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, KVPY
, NEET (UG)",,,,,,,https://www.iitk.ac.in/doaa/under-graduate-programme,"1. KVPY
2. INSPIRE
3. IISc Promotional Scheme(IIScP)",
Bachelors,Physics,Physics,"Hindu College, Delhi",3 or 4 years,"INR 5,000 -INR 10,46,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, KVPY
, NEET (UG)",,,,,,,https://hinducollege.ac.in/acd_dep_description.aspx?id=1,"1. KVPY
2. INSPIRE
3. IISc Promotional Scheme(IIScP)",
Bachelors,Physics,Physics,"St Xavier College, Mumbai",3 or 4 years,"INR 5,000 -INR 10,46,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, KVPY
, NEET (UG)",,,,,,,https://physics.xaviers.edu/courses/undergraduate-bsc,"1. KVPY
2. INSPIRE
3. IISc Promotional Scheme(IIScP)",
Bachelors,Physics,Physics,"Ferguson College, Pune",3 or 4 years,"INR 5,000 -INR 10,46,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, KVPY
, NEET (UG)",,,,,,,https://www.fergusson.edu/departments/department,"1. KVPY
2. INSPIRE
3. IISc Promotional Scheme(IIScP)",
Integrated BSc+MSc,Physics,Physics,IISER Kolkata,3 or 4 years,"INR 5,000 -INR 10,46,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, KVPY
, NEET (UG)",,,,,,,https://www.iiserkol.ac.in/web/en/academic/programmes/5-year-bs-ms-dual-degree-programme/#gsc.tab=0,"1. KVPY
2. INSPIRE
3. IISc Promotional Scheme(IIScP)",
Integrated BSc+MSc,Physics,Physics,IISER Pune,3 or 4 years,"INR 5,000 -INR 10,46,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, KVPY
, NEET (UG)",,,,,,,https://www.iiserpune.ac.in/education/admissions,"1. KVPY
2. INSPIRE
3. IISc Promotional Scheme(IIScP)",
Integrated BSc+MSc,Physics,Physics,IIT Madras,3 or 4 years,"INR 5,000 -INR 10,46,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, KVPY
, NEET (UG)",,,,,,,https://physics.iitm.ac.in/program-dual-new.php,"1. KVPY
2. INSPIRE
3. IISc Promotional Scheme(IIScP)",
Integrated BSc+MSc,Physics,Physics,IISER Kolkata,5 years,"INR 4000 - INR 10,00,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, SCB Channel
, KVPY",,,,,,,https://www.iitm.ac.in/academics/study-at-iitm/undergraduate-programmes,"1. KVPY
2. INSPIRE",
Integrated BSc+MSc,Physics,Physics,IISER Pune,5 years,"INR 4000 - INR 10,00,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, SCB Channel
, KVPY",,,,,,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,"1. KVPY
2. INSPIRE",
Integrated BSc+MSc,Physics,Physics,IIT Madras,5 years,"INR 4000 - INR 10,00,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)
, SCB Channel
, KVPY",,,,,,,https://www.isro.gov.in/CareerOpportunities.html,"1. KVPY
2. INSPIRE",
Bachelors,Physics,Physics,IIT Madras,4 years,"INR 5,00,000 - INR 10,00,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)",,,,,,,https://phy.iiserb.ac.in/,"1.  Institute Merit-cumMeans Scholarship
2.  IIT Madras: Institute free studentship",
Bachelors,Physics,Physics,IIT Delhi,4 years,"INR 5,00,000 - INR 10,00,000",,,,,"10+2 
, IIT JEE (Mains+Advanced)",,,,,,,https://web.iisermohali.ac.in/dept/physics/index.html,"1.  Institute Merit-cumMeans Scholarship
2.  IIT Madras: Institute free studentship",
Integrated MS-PhD,Physics,Physics,TIFR,6 years,"INR 10,500",,,,,"JEST 
,GATE/NET",,,,,,,https://www.tifr.res.in/~sbp/,i. Fellowship and Contingency Grant,
Integrated MS-PhD,Physics,Physics,TIFR,6 years,"INR 10,500",,,,,"JEST 
,GATE/NET",,,,,,,https://www.tifr.res.in/~sbp/new2015/fees.htm,i. Fellowship and Contingency Grant,
Integrated MS-PhD,Physics,Physics,"IISC, Banglore",7 years,"INR 29,200",,,,,"JAM (Ph)
,JEST",,,,,,,https://iisc.ac.in/admissions/ph-d-integratedprogrammes/#ffs-tabbed-13,Rs. 16000/JRF – Rs. 31000/SRF – Rs. 35000,
Integrated MS-PhD,Physics,Physics,IISER Pune/ Other IISERs,7 years,"INR 70,000",,,,,"BSc Degree/ BTech/ BE
, JAM followed by interview 
, JEST iPhD",,,,,,,https://www.iiserpune.ac.in/education/admissions/integrated-phd-programme,INSPIRE-PhD Feloowship,
Integrated MS-PhD,Physics,Physics,"ICTS, Banglore",6 years,_,,,,,"TIFR GS Exam
, JEST (Physics)
, GATE (Physics)
, CSIR UGC NET (Physical Sciences - JRF eligible)
Follwed by interview",,,,,,,https://www.icts.res.in/gsps-admissions,"1st Year: Rs. 21,000/- p.m
1st Year Book grant: Rs. 25,000/- p.a.
2nd Year: Rs. 31,000/- p.m
2nd Year Contingency grant: Rs. 40,000/- p.a.
Integrated PhD post-registration: Rs. 35,000/- p.m
Integrated PhD post-registration Contingency grant: Rs. 40,000/- p.a. 
Integrated PhD post-registration (beyond 6 years up to a max of 1 year): Rs. 17,500/- p.m",
Masters,Physics,Physics,HRI,2 Years,"INR 13325 - INR 59,200",,,,,"JEST followed by interview
, IIT JAM (Physics)
, University Entrance Exam
, AIIIMS Entrance Exam
, CUCET-PG",,,,,,,http://www.iisertirupati.ac.in/education/iphd/,"1. Merit­ cum­ Means (MCM) Scholarship upto Scholarship
 of Rs 40,000/­ per year
2. DBT Scholarship Rs 5000 p.m.
3. Institute Merit Scholarship (IMS) Rs 500 p.m. for eight months
4. Indian Women’s Association, Bonn (IWAB) Scholarship INR 15000 for one time
5. MCM Scholarship eligibility criteria Rs 1000 p.m.
6. Institute Free Studentship Scholarship eligibility criteria
7. MHRD scholarship for single Girlchild Rs 40,000 p.a.
8. In lakhs Scholarship INR 25,000 p.s. for a four-year period
9. 50% Free Studentship: Exemption from payment of 50% tuition fees
10. ",
PhD,Physics,Physics,"IUCAA, Pune",5-7 Years,-,,,,,"BSc, MSc or Btech/B.E, followed by 
 INAT
, JEST
, CSIR-UGC NET for JRF (Physics)  
, GATE (Physics) 
, UGCCSIR Net Lectureship
(Physical Sciences)
followed by interview",,,,,,,https://www.iitg.ac.in/phy/msc.php,"1. Monthly stipend is Rs. 21,000 in the first year, 
followed by Rs. 31,000 in the next two years (NCRA - TIFR)
2. Research Scholars also have an annual contingency grant of Rs. 40,000/- per year (NCRA - TIFR)
3. The stipend of a JRF is Rs. 31,000/- pm, and of a SRF is Rs. 35,000/- pm in addition to an annual book grant and medical facilities (IIA)
4. Rs 31,000/- pm,  enhanced to Rs 35,000/- after registration.
",
PhD,Physics,Physics,TIFR Hyderabad,3-6 Years,INR 5885 (3 Years) (AIIMS),,,,,"MSc Physics or Btech/B.E
 TIFR Writte test",,,,,,,https://www.phy.iitb.ac.in/en/postgraduate,"1. Rs 31,000/- pm,  enhanced to Rs 35,000/- after registration 
(TIFR)",
PhD,Physics,Physics,IISC Banglore,5-7 Years,-,,,,,"NET JRF
, GATE
, TIFR GS
, JEST",,,,,,,," 1. INR 31,000 for the first two years and a monthly stipend 
of INR 35,000 for the next three years; after five years (IISc)
2. Rs 31,000/- pm,  enhanced to Rs 35,000/- after registration (TIFR Mumbai).
3. JRF/SRF (as per Govt. norms) of Rs. 31,000/- p.m (first two years) - 35,000 (next three years). (JNSCAR and SINP)",
PhD,Physics,Physics,TIFR Mumbai,3- 6 Years,-,,,,,"JEST 
,GATE
, NET JRF 
, TIFR GS
followed by interview",,,,,,,,"1.  JRF/SRF (as per Govt. norms) of Rs. 31,000/- p.m
 (first two years) - 35,000 (next three years)",
PhD,Physics,Physics,TIFR Mumbai,3- 6 Years,-,,,,,"TIFR GS Exam
, JEST (Physics)
, GATE (Physics)
, CSIR UGC NET (Physical Sciences - JRF eligible)
Follwed by interview",,,,,,,,"1.  JRF/SRF (as per Govt. norms) of Rs. 31,000/- p.m
 (first two years) - 35,000 (next three years)",
Bachelors,Aerospace Engineering,Areospace Engineering,IIT Madras,"4-5 Years
","""INR 209,550 per year (IIT M) (BTech)
INR 2.12 lakh per year (IIT M) (MTech)
INR 10.1 lakhs total (IIT M) (Integrated)
",,,,,"JEE
, GATE",,,,,,,"
http://www.ae.iitm.ac.in/
","Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Cambridge Commonwealth and Collwgw Awards
Oxford and Cambridge Society of India is a scholarship
SGPC Cambridge Scholarships",
Bachelors,Mechanical Engineering,Robotics (specialization Of Mechanical Engineering At Iits and Mit),IIT Madras,"4-5 Years
","""INR 209,550 per year (IIT M) (BTech)
INR 2.12 lakh per year (IIT M) (MTech)
INR 10.1 lakhs total (IIT M) (Integrated)
",,,,,JEE,,,,,,,"https://ioe.iitm.ac.in/program/robotics/
","Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Excellence Scholarship & Opportunity Programme (ESOP)",
Bachelors,IT-ITeS,Aritifical Intelligence,IIT Hyderabad,"4 Years
","INR 1,00,000  per sem (BTech IIT Hyderabad)
",,,,,JEE,,,,,,,"https://ai.iith.ac.in/programs/btech.html
","Institute Merit-cumMeans Scholarship
Institute free studentship
Ram Shriram Scholarship
The CMInDS Fellowship
The Megan Kacholia Fellowship ",
Bachelors,IT-ITeS,Computer Scince,"Arizona State University University of Cambridge University of California , Berkly TU Delft NUS","4 Years
2 Years","$32,760  (ASU) BS
	$45,798 (ASU) MS
£37,293
$ 24,204.50 
$59,665.00 (NUS MS)",,,,,"ASU
 3 GPA
, ACT or SAT score.
, English proficiency
, completed high school
, aptitude requirements
 , GRE
, Coursework requirements 
University of  Cambridge 
 A Level: A*A*A
, IB: 40-42 points, with 776 at Higher Level
, A Level/IB Higher Level Mathematics
, Test of Mathematics for University Admission 
, Computer Science Admissions Test (CSAT).
UCB
 GRE
, 3+ GPA
, Language Proficiency
, SAT
TU Delft
 GRE
, LOR AND SOP
, Language Proficiency 
, Academic Perfcoramce
NUS
 Bachelors
, English Proficiency 
, LORs and SOPs 
, CV/Resume",,,,,,,"https://www.tudelft.nl/onderwijs/opleidingen/masters/cs/msc-computer-science
https://www.undergraduate.study.cam.ac.uk/courses/computer-science
https://degrees.apps.asu.edu/major-map/ASU00/ESCSEBS/null/ALL/2023
https://cs.berkeley.edu/","New American University (NAMU) Scholarship (ASU)
College and departmental scholarships (ASU)
Financial aid for students regardless of immigration status (ASU)
British Chevening Scholarships
Euraxess UK
CalCentral (UCB)
Financial AiD (UCB)",
Bachelors,Mechanical Engineering,Mechanical Engineering,IIT Madras,"4-5 Years
","""INR 209,550 per year (IIT M) (BTech)
INR 2.12 lakh per year (IIT M) (MTech
INR 1,07,800 (IIT D) (BTech)
NR 10 lakh (IIT B BTech)
INR 1.20 lakh (IITB MTech)
$47,838.50 (NUS)",,,,,"JEE 
, GATE 
Standford and NUS
 Bachelors
, English Proficiency
, GRE (standford)
, Reearch Papers
, Extracurricular 
, LORs and SOPs 
, CV/Resume",,,,,,,"https://ee.iitd.ac.in/
https://mech.iitm.ac.in/meiitm/
https://www.me.iitb.ac.in/
https://me.stanford.edu/academics-admissions/graduate/masters-program/masters-admissions
https://admission.stanford.edu/
https://cde.nus.edu.sg/me/graduate/msc-me/","Institute Merit-cumMeans Scholarship
Institute free studentship
Prof G V N Rayudu Memorial Merit Scholarship",
Bachelors,Environmental Science,Meteorologist,IIT Delhi,4 years,"INR 94,245 (IIT) ",,,,,JEE Advanced,,,,,,,OVERVIEW,,
Bachelors,Environmental Science,Meteorologist,University of Wahington : Seattle,3 years,"INR 94,245 (IIT) INR 45,600 - 3,00,000",,,,,"JEE Advanced, KEAM, TOEFL (Abroad), SAT/ACT",,,,,,,SCHOLARSHIPS,"National Oceanic And Atmospheric Administration, The American Meteorological Society, AMS Minority Scholarship for Meteorology",
Bachelors,Environmental Science,Ecologist,University of New England,3 + 2 years,,,,,,"JEE Advanced/AMITY JEE : IISER Aptitude Test, KVPY",,,,,,,,"INSPIRE, KVPY, Georgia Association of Environmental Professionals Environmental Scholarship, WHFF Plein Environmental Scholarship, Apprentice Ecologist Scholarship",
Bachelors,Environmental Science,Ecologist,The University of Queensland,3 + 2 years,,,,,,"JEE Advanced/AMITY JEE : IISER Aptitude Test, KVPY",,,,,,,,"INSPIRE, KVPY, Georgia Association of Environmental Professionals Environmental Scholarship, WHFF Plein Environmental Scholarship, Apprentice Ecologist Scholarship",
Bachelors,Environmental Science,Ecologist,"Amity University, Noida",3 + 2 years,,,,,,"JEE Advanced/AMITY JEE : IISER Aptitude Test, KVPY",,,,,,,,"INSPIRE, KVPY, Georgia Association of Environmental Professionals Environmental Scholarship, WHFF Plein Environmental Scholarship, Apprentice Ecologist Scholarship",
Bachelors,Environmental Science,Ecologist,"Indian Institute of Science [IISc], Bangalore",3 + 2 years,,,,,,"JEE Advanced/AMITY JEE : IISER Aptitude Test, KVPY",,,,,,,,"INSPIRE, KVPY, Georgia Association of Environmental Professionals Environmental Scholarship, WHFF Plein Environmental Scholarship, Apprentice Ecologist Scholarship",
Bachelors,Physics,Astrophysics,IISc,3+2 years,,,,,,"JEE, GATE, KVPY, IIAST, IUCAA National Admission Test (INAI), JEST",,,,,,,home | Indian Institute of Astrophysics (iiap.res.in),,
Bachelors,Physics,Astrophysics,Harvard University,3+2 years,,,,,,"JEE, GATE, KVPY, IIAST, IUCAA National Admission Test (INAI), JEST",,,,,,,home | Indian Institute of Astrophysics (iiap.res.in),,
Bachelors,Environmental Science,"Geology, Geoinformatics",University of Hyderabad,3years / 2 years,"INR 2000 - 90,000 per year",,,,,JET,,,,,,,,Association for Women Geoscientists (AWG) Foundation Scholarships,
Bachelors,Environmental Science,"Geology, Geoinformatics","University of Birmingham, UK",3years / 2 years,"INR 2000 - 90,000 per year",,,,,NPR,,,,,,,,Society of Exploration Geophysicists (SEG) Scholarships:,
Bachelors,Environmental Science,"Geology, Geoinformatics",,3years / 2 years,"INR 2000 - 90,000 per year",,,,,BHU AT,,,,,,,,Sigma Gamma Epsilon Scholarships: ONGC Scholarship for SC/ST Students:,
Bachelors,Environmental Science,"Geology, Geoinformatics",,3years / 2 years,"INR 2000 - 90,000 per year",,,,,SUAT,,,,,,,,The Geological Society of India Scholarships:,
Bachelors,Environmental Science,"Geology, Geoinformatics",,3years / 2 years,"INR 2000 - 90,000 per year",,,,,CUET,,,,,,,,Ministry of Tribal Affairs Scholarship:,
Bachelors,Environmental Science,"Geology, Geoinformatics",,3years / 2 years,"INR 2000 - 90,000 per year",,,,,,,,,,,,,Indian National Science Academy (INSA) Scholarships:,
Bachelors,Environmental Science,"Geology, Geoinformatics",,3years / 2 years,"INR 2000 - 90,000 per year",,,,,,,,,,,,,INSPIRE Scholarship,
Bachelors,Agriculture,Agricultural Engineer,"Indian Institute of Technology (IIT), Kharagpur",4 years,"INR 50,000 to 15,00,000 per year",,,,,"For UG- JEE Mains, ICAR AIEEA, EAMCET, OUATET, BCECE, KCET",,,,,,,,ICAR (Indian Council of Agricultural Research) Scholarship,
Bachelors,Agriculture,Agricultural Engineer,"Tamil Nadu Agricultural University, Coimbatore",4 years,"INR 50,000 to 15,00,000 per year",,,,,"For UG- JEE Mains, ICAR AIEEA, EAMCET, OUATET, BCECE, KCET",,,,,,,,National Talent Scholarships(ICAR),
Bachelors,Agriculture,Agricultural Engineer,"Punjab Agricultural University, Ludhiana",4 years,"INR 50,000 to 15,00,000 per year",,,,,"For UG- JEE Mains, ICAR AIEEA, EAMCET, OUATET, BCECE, KCET",,,,,,,,Raman-Charpak Fellowship,
Bachelors,Agriculture,Agricultural Engineer,,4 years,"INR 50,000 to 15,00,000 per year",,,,,"For UG- JEE Mains, ICAR AIEEA, EAMCET, OUATET, BCECE, KCET",,,,,,,,INLAKS Shivdasani Foundation Scholarship,
Masters,Agriculture,Agricultural Engineer,,2 Years,"30,000 INR to 75,000 INR.",,,,,", For PG- ICAR AIEEA, GATE, VITMEE, UPSEE, PG CET",,,,,,,,DAAD Scholarship,
Bachelors,Agriculture,Agricultural Engineer,"University of California, Davis (USA)",3-5 Years,"28,000 USD to 55,000 USD",,,,,", SAT/ACT, IELTS/TOEFL/PTE",,,,,,,,Fulbright-Nehru Research Fellowships,
Bachelors,Agriculture,Agricultural Engineer,Purdue University (USA),3-5 Years,"28,000 USD to 55,000 USD",,,,,", SAT/ACT, IELTS/TOEFL/PTE",,,,,,,,,
Bachelors,Agriculture,Agricultural Engineer,Wageningen University & Research (Netherlands),3-5 Years,"28,000 USD to 55,000 USD",,,,,", SAT/ACT, IELTS/TOEFL/PTE",,,,,,,,,
Bachelors,Power,Nuclear Engineer,University of California logo,3 years,INR 20L - 48L Per Year,,,,,,,,,,,,,1. ANS Incoming Freshman Scholarship,
Bachelors,Power,Nuclear Engineer,"University of California, Berkeley",3 years,INR 20L - 48L Per Year,,,,,,,,,,,,,2. Nuclear Energy University Programs (NEUP) Scholarship,
Bachelors,Power,Nuclear Engineer,,3 years,INR 20L - 48L Per Year,,,,,,,,,,,,,"3. Directorate of Construction, Services and Estate Management (DCSEM) Scholarship",
Bachelors,Power,Nuclear Engineer,,3 years,INR 20L - 48L Per Year,,,,,,,,,,,,,4.Raja Ramanna Fellowship,
Bachelors,Power,Nuclear Engineer,IIT Madras,4 years,"INR 50,000-2,00,000",,,,,"JEE Advanced, SRMJEE, BITSAT",,,,,,,,5. Homi Bhabha National Institute (HBNI) Scholarship,
Masters,Power,Nuclear Engineer,IIT Madras,2 Years,"INR 20,000 - 2,00,000",,,,,"GATE, Fundamentals of Engineering (FE) exam, Professional Engineering (PE) exam",,,,,,,https://in.indeed.com/,6. Nuclear Power Corporation of India Limited (NPCIL) Scholarship,
Diploma,Chemical and Petrochemicals,Petroleum Engineer,IIT Dhanbad,3Years,"INR 25,000-4,00,000",,,,,JEE Advanced,,,,,,,https://www.careers360.com,1 Aker Solutions Masters Scholarship for Indian Students,
Bachelors,Chemical and Petrochemicals,Petroleum Engineer,IIT Dhanbad,4 Years,"INR 25,000-4,00,000",,,,,JEE Advanced,,,,,,,https://www.careers360.com,2 DAAD WISE Scholarship for Indian students studying Engineering,
Masters,Chemical and Petrochemicals,Petroleum Engineer,IIT Dhanbad,2 Years,"INR 25,000-4,00,000",,,,,JEE Advanced,,,,,,,https://www.careers360.com,3 Schlumberger Foundation Faculty for the Future Fellowship,
Bachelors,Chemical and Petrochemicals,Petroleum Engineer,IIT Dhanbad,,"INR 25,000-4,00,000",,,,,JEE Advanced,,,,,,,https://www.careers360.com,4 Society of Petroleum Engineers Scholarship,
Bachelors,Chemical and Petrochemicals,Petroleum Engineer,Lovely Professional University,,"INR 25,000-4,00,000",,,,,LPUNEST,,,,,,,https://www.careers360.com,5 Indian Oil Academic Scholarships,
Bachelors,Chemical and Petrochemicals,Petroleum Engineer,Presidency University,,"INR 25,000-4,00,000",,,,,PUMDET,,,,,,,https://www.careers360.com,6 ONGC Scholarship for SC/ST students pursuing Engineering courses,
Bachelors,Chemical and Petrochemicals,Petroleum Engineer,Pandit Deendayal Petroleum University,,"INR 25,000-4,00,000",,,,,JEE Mains,,,,,,,https://www.careers360.com,7 Dr. R.K. Pachauri Scholarship for Sustainable Development,
Bachelors,Chemical and Petrochemicals,Petroleum Engineer,NIMS University,,"INR 25,000-4,00,000",,,,,NIMS Entrance,,,,,,,https://www.careers360.com,8 Hindustan Petroleum Scholarship for Engineering Students,
Bachelors,Chemical and Petrochemicals,Petroleum Engineer,MIT World Peace University,,"INR 25,000-4,00,000",,,,,MHT-CET,,,,,,,https://www.careers360.com,9 BPCL Scholarship for Higher Studies,
Bachelors,Chemical and Petrochemicals,Petroleum Engineer,Amity University,,"INR 25,000-4,00,000",,,,,Amity JEE,,,,,,,https://www.careers360.com,10 Shell India Scholarship for Engineering Students,
Bachelors,Nanosystem Engineer,Nanosystem Engineer,IIT Bombay,4 Years,"INR 200,000 - 400,000",,,,,"JEE Main, JEE Advanced, SRMJEE, BITSAT, VITEEE, KIITEE",,,,,,,"How to Become Nanotechnologist - Career, Jobs & Salary, Qualification, Exam (careers360.com)",1. National Science Foundation Graduate Research Fellowship,
Bachelors,Nanosystem Engineer,Nanosystem Engineer,SRM Institute of Science and Technology,4 Years,"INR 200,000 - 400,000",,,,,"JEE Main, JEE Advanced, SRMJEE, BITSAT, VITEEE, KIITEE",,,,,,,"How to Become Nanotechnologist - Career, Jobs & Salary, Qualification, Exam (careers360.com)",2. Department of Energy Computational Science Graduate Fellowship,
Bachelors,Nanosystem Engineer,Nanosystem Engineer,"Amity School of Engineering, Noida",4 Years,"INR 200,000 - 400,000",,,,,"JEE Main, JEE Advanced, SRMJEE, BITSAT, VITEEE, KIITEE",,,,,,,"How to Become Nanotechnologist - Career, Jobs & Salary, Qualification, Exam (careers360.com)",3.National Defense Science and Engineering Graduate Fellowship,
Bachelors,Nanosystem Engineer,"Nanosystem Engineer, Nanotechnology","Massachusetts Institute of Technology, Nanyang Technological University, Northwestern University, Harvard University",3 Years,"$19,000 - $30,000",,,,,"SAT/ACT , TOEFL, IELTS, PTE",,,,,,,"How to Become Nanotechnologist - Career, Jobs & Salary, Qualification, Exam (careers360.com)",4.Hertz Fellowship,
Masters,Nanosystem Engineer,Nanosystem Engineer,"CeNSE, IISc",2 Years,"INR 50,000 - 200,000",,,,,GATE,,,,,,,"How to Become Nanotechnologist - Career, Jobs & Salary, Qualification, Exam (careers360.com)",,
Bachelors,Packaging Engineer,Packaging Engineer,IIT Madras,4 Years/ 2 Years,"INR31,000 - 3,00,000(1st year fee) : $53,740",,,,,"JEE Main, JEE Advanced, TOEFL / GATE",,,,,,,What Is A Packaging Engineer? Packaging Engineer Overview - Zippia,"1, The Packaging Industry Association of India (PIAI) Scholarship",
Masters,Packaging Engineer,Packaging Engineer,IIT Delhi,4 Years/ 2 Years,"INR31,000 - 3,00,000(1st year fee) : $53,740",,,,,"JEE Main, JEE Advanced, TOEFL / GATE",,,,,,,What Is A Packaging Engineer? Packaging Engineer Overview - Zippia,,
Bachelors,Packaging Engineer,Packaging Engineer,IIT Bombay,4 Years/ 2 Years,"INR31,000 - 3,00,000(1st year fee) : $53,740",,,,,"JEE Main, JEE Advanced, TOEFL / GATE",,,,,,,What Is A Packaging Engineer? Packaging Engineer Overview - Zippia,2. The Institute of Packaging Machinery Manufacturers of India (IPMMI) Scholarship,
Bachelors,Packaging Engineer,Packaging Engineer,College of engineering anna university ceg Chennai,4 Years/ 2 Years,"INR31,000 - 3,00,000(1st year fee) : $53,740",,,,,"JEE Main, JEE Advanced, TOEFL / GATE",,,,,,,What Is A Packaging Engineer? Packaging Engineer Overview - Zippia,,
